host_tenure,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,room_type,accommodates,bathrooms,bedrooms,beds,price_per_night,minimum_nights,number_of_reviews,number_of_reviews_ly,review_scores_rating,reviews_per_month
Veteran,f,1,t,t,Centro,Entire home/apt,3,1,1,2,92.44,10,1,1,5,0.07
New,f,6,t,t,Centro,Private room,2,1,1,2,93,1,1,1,4,0.07
New,f,32,t,t,Centro,Private room,2,1,1,1,93,1,1,0,5,1
Established,f,476,t,t,Centro,Entire home/apt,4,1,1,2,93.02,1,1,0,5,0.04
Veteran,f,51,t,t,Centro,Entire home/apt,7,2.5,4,,93.67,30,1,1,5,0.09
Veteran,f,45,t,t,Centro,Entire home/apt,1,1,1,1,94.3,10,1,1,4,0.09
New,f,141,t,t,Centro,Entire home/apt,4,1,1,1,94.38,31,1,0,5,1
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,95.93,30,1,1,5,0.08
New,f,1,f,t,Centro,Entire home/apt,3,1,1,1,96,2,1,0,5,1
Veteran,f,22,t,t,Centro,Entire home/apt,3,1,1,2,96.26,21,1,0,5,0.57
New,f,194,t,t,Centro,Entire home/apt,4,1,2,2,96.27,30,1,0,5,0.04
New,f,2,t,t,Centro,Private room,2,,1,1,97,1,1,0,4,0.83
New,f,2,t,t,Centro,Private room,2,1,1,1,97,3,1,0,5,0.03
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,97.29,30,1,0,5,0.43
Veteran,f,1,t,t,Centro,Entire home/apt,3,2,3,3,97.9,1,1,0,5,1
New,f,194,t,t,Centro,Entire home/apt,1,1,1,1,98.47,30,1,0,3,0.04
Established,f,31,t,t,Centro,Private room,2,3.5,,2,98.67,3,1,0,5,1
New,t,2,t,t,Centro,Private room,2,1,1,2,99,1,1,1,5,0.08
Veteran,f,118,t,t,Centro,Entire home/apt,2,1,1,1,99.35,20,1,0,5,1
Established,f,4,t,t,Centro,Entire home/apt,3,1,2,2,100.29,30,1,0,5,0.04
Established,f,15,t,t,Centro,Private room,1,2,1,1,100.6,5,1,0,5,1
New,f,194,t,t,Centro,Entire home/apt,4,1,2,2,101.03,30,1,1,3,0.09
New,f,28,t,t,Centro,Entire home/apt,4,1,1,1,101.3,5,1,0,5,0.05
Veteran,f,1,t,t,Centro,Entire home/apt,2,1,1,1,101.5,2,1,0,5,1
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,101.84,30,1,0,5,0.59
Established,f,10,t,t,Centro,Private room,2,1,1,1,102,1,1,0,5,0.03
Veteran,f,1042,t,t,Centro,Entire home/apt,3,2,2,3,102.38,31,1,1,3,0.11
Veteran,f,53,t,f,Centro,Entire home/apt,4,1,2,2,102.4,1,1,1,1,0.17
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,102.46,1,1,1,5,0.11
New,f,3,t,t,Centro,Private room,2,1,1,1,104,1,1,0,5,1
Veteran,f,1042,t,t,Centro,Entire home/apt,4,2,2,2,104.02,31,1,0,5,1
Veteran,f,1042,t,t,Centro,Entire home/apt,4,2,2,3,104.75,31,1,1,5,0.08
New,f,194,t,t,Centro,Entire home/apt,4,2,2,2,105.1,30,1,0,5,0.46
New,t,12,t,t,Centro,Entire home/apt,2,1,1,1,105.14,6,1,0,5,0.64
Veteran,f,1042,t,t,Centro,Entire home/apt,3,0,1,2,105.4,31,1,0,5,0.04
New,f,37,t,t,Centro,Entire home/apt,2,1,1,1,106,1,1,0,5,0.79
Established,f,1,t,t,Centro,Entire home/apt,2,1.5,1,1,106.29,14,1,0,5,0.02
Veteran,f,2,t,t,Centro,Hotel room,2,1,1,2,107,1,1,0,5,0.02
New,f,3,t,t,Centro,Entire home/apt,2,1,1,1,107,2,1,0,5,1
New,f,194,t,t,Centro,Entire home/apt,4,1,2,2,107.3,30,1,1,5,0.1
Established,f,476,t,t,Centro,Entire home/apt,3,2,2,2,107.53,1,1,1,5,0.08
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,107.56,1,1,0,5,0.5
New,f,6,t,t,Centro,Private room,2,1,1,1,108,1,1,0,2,0.04
Veteran,t,6,t,t,Centro,Private room,2,3,1,1,108,1,1,0,5,0.05
Veteran,f,14,t,t,Centro,Entire home/apt,2,1,1,1,108.78,32,1,0,5,0.88
New,f,9,t,f,Centro,Entire home/apt,4,1,1,3,109,1,1,0,3,1
New,f,194,t,t,Centro,Entire home/apt,2,1,1,1,109.17,30,1,1,2,0.14
Established,f,236,t,t,Centro,Entire home/apt,4,0,1,2,109.5,2,1,0,4,1
New,f,1,t,t,Centro,Entire home/apt,4,1,1,2,110,2,1,0,4,1
Veteran,f,1042,t,t,Centro,Entire home/apt,3,0,1,3,110.12,31,1,1,5,0.07
New,f,194,t,t,Centro,Entire home/apt,4,2,2,2,110.63,30,1,0,5,0.05
Veteran,f,3,t,t,Centro,Entire home/apt,1,1,1,2,111.14,7,1,0,5,0.65
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,111.34,30,1,1,5,0.12
Veteran,t,2,t,t,Centro,Entire home/apt,2,1,1,1,111.36,15,1,1,5,0.14
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,111.48,30,1,1,5,0.13
New,f,194,t,t,Centro,Entire home/apt,2,1,1,1,111.73,30,1,1,5,0.1
Established,f,10,t,t,Centro,Private room,2,1,1,1,112,1,1,0,3,0.03
Veteran,f,16,t,t,Centro,Private room,1,1.5,1,1,113,1,1,0,5,0.6
Veteran,t,25,t,t,Centro,Hotel room,2,1,1,1,113,1,1,1,2,0.1
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,113.37,1,1,1,5,0.09
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,113.37,30,1,0,5,0.71
New,f,21,t,t,Centro,Entire home/apt,3,2,2,4,113.97,30,1,0,5,0.57
New,f,5,t,t,Centro,Private room,2,1,1,1,114,1,1,0,3,1
New,f,12,t,t,Centro,Entire home/apt,2,1,1,1,114.57,7,1,0,3,1
Established,f,2,t,t,Centro,Entire home/apt,5,1.5,4,5,116.52,30,1,0,5,0.04
Veteran,f,143,t,t,Centro,Entire home/apt,3,1,1,3,117,1,1,0,4,1
Veteran,f,146,t,t,Centro,Private room,2,1,1,1,117,1,1,1,2,0.07
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,117.22,30,1,1,5,0.08
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,117.22,1,1,1,5,0.11
Established,f,476,t,t,Centro,Entire home/apt,4,2,2,2,117.25,1,1,1,5,0.16
Established,f,476,t,t,Centro,Entire home/apt,4,2,2,2,118.22,30,1,1,5,0.06
New,f,194,t,t,Centro,Entire home/apt,2,1,1,1,118.37,30,1,0,5,0.65
New,f,28,t,t,Centro,Entire home/apt,2,1,1,1,119.8,2,1,1,1,0.14
New,f,10,t,t,Centro,Private room,2,0,1,1,120,1,1,0,5,0.36
New,f,1,f,t,Centro,Private room,1,,1,1,120,1,1,0,5,0.03
Established,f,173,t,t,Centro,Private room,2,1,1,1,120,1,1,0,3,1
Established,f,476,t,t,Centro,Entire home/apt,2,1,1,1,120.09,30,1,0,5,0.33
Veteran,f,79,t,t,Centro,Entire home/apt,4,1,1,1,121,3,1,0,5,1
Established,f,50,t,t,Centro,Entire home/apt,2,1,1,2,121.23,30,1,0,5,0.02
Established,f,10,t,t,Centro,Private room,1,0,1,1,122,1,1,0,2,0.03
Veteran,f,3,t,f,Centro,Entire home/apt,4,1,1,2,122.7,10,1,0,5,0.04
New,f,6,t,t,Centro,Private room,4,1,1,3,123,1,1,0,5,1
Veteran,t,6,t,t,Centro,Private room,2,1,1,2,123,1,1,0,4,0.01
Veteran,f,1042,t,t,Centro,Entire home/apt,6,3,3,4,123.34,31,1,0,3,0.05
Veteran,f,1042,t,t,Centro,Entire home/apt,4,0,2,2,124.26,31,1,0,5,0.03
New,f,4,t,t,Centro,Private room,2,1,1,1,125,1,1,0,4,0.28
